Company Name,TIDM,Sector,Country of Incorporation,LSE Market
Ashmore Group Plc,ASHM,Financial Services ,United Kingdom,MAIN MARKET
Ashoka India Equity Investment Trust Plc,AIE,Financial Services ,United Kingdom,MAIN MARKET
Ashoka Whiteoak Emerging Markets Trust Plc,AWEM,Financial Services ,United Kingdom,MAIN MARKET
Ashtead Group Plc,AHT,Industrial Goods and Services,United Kingdom,MAIN MARKET
Asia Dragon Trust Plc,DGN,Financial Services ,United Kingdom,MAIN MARKET
Asia Strategic Holdings Limited,ASIA,Consumer Products and Services,Singapore,MAIN MARKET
Asian Energy Impact Trust Plc,AEIP,Financial Services ,United Kingdom,MAIN MARKET
Asian Energy Impact Trust Plc,AEIT,Financial Services ,United Kingdom,MAIN MARKET
Asos Plc,ASC,Retail ,United Kingdom,MAIN MARKET
Associated British Engineering Plc,ASBE,Industrial Goods and Services,United Kingdom,MAIN MARKET
Associated British Foods Plc,ABF,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
Assura Plc,AGR,Real Estate ,United Kingdom,MAIN MARKET
Aston Martin Lagonda Global Holdings Plc,AML,Automobiles and Parts,United Kingdom,MAIN MARKET
Astrazeneca Plc,AZN,Health Care  ,United Kingdom,MAIN MARKET
Aterian Plc,ATN,Basic Resources,United Kingdom,MAIN MARKET
Athelney Trust Plc,ATY,Financial Services ,United Kingdom,MAIN MARKET
Atrato Onsite Energy Plc,ROOF,Financial Services ,United Kingdom,MAIN MARKET
Auction Technology Group Plc,ATG,Technology,United Kingdom,MAIN MARKET
Augmentum Fintech Plc,AUGM,Financial Services ,United Kingdom,MAIN MARKET
Aura Renewable Acquisitions Plc,ARA,Financial Services ,United Kingdom,MAIN MARKET
Aurora Investment Trust Plc,ARR,Financial Services ,United Kingdom,MAIN MARKET
Auto Trader Group Plc,AUTO,Technology,United Kingdom,MAIN MARKET
Avation Plc,AVAP,Industrial Goods and Services,United Kingdom,MAIN MARKET
Avation Plc,AVAW,Industrial Goods and Services,United Kingdom,MAIN MARKET
Avi Global Trust Plc,AGT,Financial Services ,United Kingdom,MAIN MARKET
Avi Japan Opportunity Trust Plc,AJOT,Financial Services ,United Kingdom,MAIN MARKET
Aviva Plc,AV.,Insurance,United Kingdom,MAIN MARKET
Aviva Plc,AV.A,Insurance,United Kingdom,MAIN MARKET
Aviva Plc,AV.B,Insurance,United Kingdom,MAIN MARKET
Avon Protection Plc,AVON,Industrial Goods and Services,United Kingdom,MAIN MARKET
B&M European Value Retail S.A.,BME,Retail ,Luxembourg,MAIN MARKET
